trait_type,phenocode,pheno_sex,description,BIN_QT,n_cases_EUR,n_controls_EUR,N,Neff,filename,aws_link,estimates.final.h2_observed
icd10,W10,both_sexes,W10 Fall on and from stairs and steps,BIN,3639,416892.0,420531,7215.020952082011,icd10-W10-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-W10-both_sexes.tsv.bgz,-0.0009
icd10,W11,both_sexes,W11 Fall on and from ladder,BIN,1568,418963.0,420531,3124.3070498964407,icd10-W11-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-W11-both_sexes.tsv.bgz,0.0079
icd10,W18,both_sexes,W18 Other fall on same level,BIN,2511,418020.0,420531,4992.013525756722,icd10-W18-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-W18-both_sexes.tsv.bgz,0.0011
icd10,W19,both_sexes,W19 Unspecified fall,BIN,7145,413386.0,420531,14047.206840874987,icd10-W19-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-W19-both_sexes.tsv.bgz,0.0035
icd10,X50,both_sexes,X50 Overexertion and strenuous or repetitive movements,BIN,1246,419285.0,420531,2484.6164016445878,icd10-X50-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-X50-both_sexes.tsv.bgz,-0.0006
icd10,X59,both_sexes,X59 Exposure to unspecified factor,BIN,4242,416289.0,420531,8398.419797827033,icd10-X59-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-X59-both_sexes.tsv.bgz,0.0007
icd10,X60,both_sexes,"X60 Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",BIN,1566,418965.0,420531,3120.3368598272186,icd10-X60-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-X60-both_sexes.tsv.bgz,0.0015
icd10,X61,both_sexes,"X61 Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, anti-Parkinsonism and psychotropic drugs, not elsewhere classified",BIN,1559,418972.0,420531,3106.4408949637486,icd10-X61-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-X61-both_sexes.tsv.bgz,0.0008
icd10,Y42,both_sexes,"Y42 Hormones and their synthetic substitutes and antagonists, not elsewhere classified",BIN,1086,419445.0,420531,2166.3909200510784,icd10-Y42-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Y42-both_sexes.tsv.bgz,-6.41e-05
icd10,Y43,both_sexes,Y43 Primarily systemic agents,BIN,3054,417477.0,420531,6063.642195224609,icd10-Y43-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-Y43-both_sexes.tsv.bgz,0.0027
