afr_nmf_component,best_eur_factorgo_factor,best_eur_factorgo_corr
1,70,0.8947085251553647
2,95,0.6706844643281374
3,100,0.6763499953571702
4,65,0.6273428010775618
5,9,0.7597704764687158
6,22,0.97457803245185
7,76,0.7660408446002597
8,35,0.8323131639544219
9,12,0.8582283127004905
10,75,0.9366166171279127
