Trait	Domain	FactorGo_R2_insample	FactorGo_R2_cv	FactorGo_R2_cv_sd	tSVD_R2_insample	tSVD_R2_cv	tSVD_R2_cv_sd	NMF_R2_insample	NMF_R2_cv	NMF_R2_cv_sd
Standing Height	Musculoskeletal	0.010596296663809235	0.005968428918944069	0.001499624647742743	0.9999835942523769	0.9999551649676658	1.2436184003800089e-05	0.47556152323582856	0.4753364946420163	0.0017328786196499427
Basal Metabolic Rate	Metabolic	0.009704643979570937	0.004872757969711339	0.001372926682732574	0.9999989115247574	0.9999737422420918	9.68006483677611e-06	0.34425367769664594	0.3441302684250591	0.005609351908830623
Triglycerides	Metabolic	0.006987981767087148	0.0031243728986678266	0.0018301404950524878	0.999984940127239	0.9999614471171547	1.5554273079621792e-05	0.44743551211776766	0.4472246111001084	0.0035782822288291075
BMI	Metabolic	0.0075194195648713436	0.0029664057463197223	0.0010416304640708145	0.9999820521620584	0.9999544965596661	1.4568817455661279e-05	0.43598376054025867	0.43580389404519604	0.004458595531374174
Whole Body Fat Mass	Body Composition	0.006834901708161145	0.002316550994119404	0.001270793581469848	0.9999565056769311	0.9999259042836585	1.5743536542405155e-05	0.4444996542258616	0.44422421557325664	0.0024497185602231205
FEV1	Pulmonary	0.0050533612499368274	0.0005230983629000097	0.0005944891116273454	0.9999963446398733	0.9999568848676589	1.7830893346794292e-05	0.3953478682391949	0.3949553581030488	0.0018230266243232495
